subject,body
"Sie haben gewonnen!","Ihr Gewinn wartet – bestätigen Sie jetzt Ihre Daten."
"Paketstatus erforderlich","Bitte aktualisieren Sie Ihre Lieferadresse."
"Dringend: Konto eingeschränkt","Loggen Sie sich ein, um die Sperre zu entfernen."
"Letzte Erinnerung","Ihr Anspruch verfällt in wenigen Stunden."
"Gratis Gutschein","Sichern Sie sich heute noch Ihren 100€ Bonus."
"Bestellbestätigung fehlt","Bitte überprüfen Sie Ihre Zahlungsdaten."
"Neuer Sicherheitsalarm","Ungewöhnliche Aktivität erkannt. Jetzt prüfen."
"Verifizierung notwendig","Abgleich der Daten erforderlich."
"Bonus freigeschaltet","Ihr 50€ Startbonus steht bereit."
"Letzte Warnung","Ihr Konto wird geschlossen, wenn Sie nicht reagieren."
"Versandinformation aktualisieren","Ihr Paket ist blockiert. Adresse bestätigen."
"Zahlung fehlgeschlagen","Bitte aktualisieren Sie Ihre Karte."
"Nur heute: Mega Rabatt","Erhalten Sie bis zu 80% Preisnachlass."
"VIP Einladung","Exklusiver Zugang nur für kurze Zeit."
"Kontoprüfung notwendig","Bitte bestätigen Sie Ihre Identität."
"Neue Nachricht","Sie haben eine neue gesicherte Mitteilung."
"Rechnung verfügbar","Ihre neue Rechnung ist abrufbar."
"Wir benötigen Ihre Bestätigung","Bitte klicken Sie auf den Link."
"Premium-Zugang aktivieren","Nutzen Sie jetzt Ihr kostenloses Upgrade."
"Dringende Benachrichtigung","Ihre Aktion ist sofort erforderlich."
"Konto wiederherstellen","Bitte Passwort zurücksetzen."
"Gewinn freigegeben","Ihr Preis ist bereit zur Auszahlung."
"Unbekannter Login erkannt","Prüfen Sie diese Anmeldung."
"SMS-Service abläuft","Verlängern Sie jetzt Ihr Paket."
"Gutschein verfügbar","Ihr Rabatt ist nur heute gültig."
"Neue Zahlung eingegangen?","Bitte Transaktion bestätigen."
"Steuerbescheid bereit","Jetzt herunterladen."
"Zustellung ausgesetzt","Bitte Angaben prüfen."
"Kreditlimit angehoben","Aktivieren Sie Ihr neues Limit."
"Warnung: Datenleck","Überprüfen Sie Ihren Account."
"Neue Geräteanmeldung","Sind Sie das? Jetzt bestätigen."
"Überraschungsbonus!","Sichern Sie sich Ihren spontanen Bonus."
"Sofortbestätigung nötig","Reagieren Sie innerhalb von 24 Stunden."
"Karte abgelaufen","Bitte aktualisieren Sie Ihre Informationen."
"Geschenk wartet","Nur ein letzter Klick fehlt."
"Passwort läuft ab","Jetzt erneuern."
"Aktion erforderlich","Ihre Daten stimmen nicht überein."
"Bezahlen Sie jetzt","Überfällige Rechnung entdeckt."
"Sicherheitsupdate fehlt","Bitte installieren Sie das neue Update."
"Prämie verfügbar","Ihre Mitgliedschaft wurde belohnt."
"Neue Voicemail","Nachricht jetzt anhören."
"Verpassen Sie das nicht","Nur heute einmalige Aktion."
"Online-Banking eingeschränkt","Bitte Identität bestätigen."
"Zahlungsabgleich nötig","Ihre letzte Transaktion war unvollständig."
"Rechnungserinnerung","Bitte begleichen Sie den offenen Betrag."
"Aktivierungsfehler","Ihr Konto konnte nicht aktiviert werden."
"Neue Freundschaftsanfrage","Jemand möchte Sie kennenlernen."
"Krypto-Bonus","Starten Sie jetzt mit 25€ extra."
"Kostenlose Teilnahme","Nur Email-Bestätigung erforderlich."
"Konto läuft ab","Bitte Zugang erneuern."
"Dringende Anfrage","Ihre Rückmeldung ist erforderlich."
"Sie wurden ausgewählt","Exklusives Angebot für Sie."
"Falsche Adresse","Bitte korrigieren, um die Lieferung zu ermöglichen."
"Sicherheitsstufe erhöht","Jetzt erneut einloggen."
"Neue Dokumente","Ihre Dateien stehen bereit."
"Sie wurden belohnt","Bonuspunkte jetzt abrufen."
"Neu: Premium-Zugang","Kostenlos testen."
"Kartensperre droht","Bitte bestätigen Sie Ihre Identität."
"Gewinnchance","Jetzt teilnehmen."
"Sie verpassen etwas","Aktion endet bald."
"Login fehlgeschlagen","Bitte Zugangsdaten prüfen."
"Neue Zahlungsanforderung","Bitte Rechnung öffnen."
"Daten werden gelöscht","Handeln Sie jetzt."
"Kontoeinstellung zurücksetzen","Jetzt aktualisieren."
"Unbekannte Transaktion","Bitte sofort prüfen."
"Neue Lieferinformation","Bestellung aktualisiert."
"Bestätigung erforderlich","Ihre Aktion ist notwendig."
"Update nötig","Aktualisieren Sie Ihr Konto."
"Zahlung erwartet","Bitte jetzt verifizieren."
"Sofortige Reaktion gefordert","Ihre Sicherheit ist gefährdet."
"Service kündigt sich ab","Erneuern Sie Ihr Abo."
"Letzte Benachrichtigung","Danach verfällt Ihr Zugriff."
"Sie haben Post","Neue Nachricht empfangen."
"Rechnung überfällig","Zahlung ausstehend."
"Neue Einstellungen verfügbar","Konfiguration erforderlich."
"Nicht autorisierte Anfrage","Bitte melden."
"Kostenlos testen","Zugang freischalten."
"Bonus-Cashback verfügbar","Jetzt aktivieren."
"Kreditüberprüfung nötig","Bestätigen Sie Ihre Angaben."
"Profil unvollständig","Jetzt vervollständigen."
"Neue Warnung","Ihr Konto ist gefährdet."
"Neue Aktion für Mitglieder","Jetzt anmelden."
"Fehlende Dokumente","Bitte nachreichen."
"Kontodaten aktualisieren","Sie müssen bestätigen."
"Zahlungsstörung","Bitte erneut versuchen."
"Neue Gerätewarnung","Jemand hat sich eingeloggt."
"Versand kann nicht erfolgen","Adresse korrigieren."
"Überprüfung angefordert","Bitte sofort handeln."
"Ungewöhnliche Zahlung","Bitte bestätigen."
"Letzter Schritt fehlt","Jetzt abschließen."
"Einmalige Gelegenheit","Nur heute verfügbar."
"Sie wurden ausgewählt","Ihr Bonus wartet."
"Service wird deaktiviert","Abo verlängern."
"Ihre Anfrage ist eingegangen","Bitte bestätigen."
"Rabatt aktiviert","Jetzt sparen."
"Login erforderlich","Bitte anmelden."
"Bestellvorgang unterbrochen","Bitte fortsetzen."
"Neue Überweisung","Bitte prüfen."
"Warnung: Kontoaktivität","Unbekannter Zugriff erkannt."
"Sie wurden eingeladen","Zugang bestätigen."
"Kontozugang eingeschränkt","Bitte melden Sie sich an, um Ihre Identität zu bestätigen."
"Rechnung offen","Ihr Betrag ist noch nicht beglichen. Jetzt prüfen."
"Sofortmaßnahme erforderlich","Wir benötigen Ihre Bestätigung."
"Nur für kurze Zeit","Sichern Sie sich Ihren Sofortrabatt."
"Überprüfung notwendig","Ihr Konto ist betroffen. Aktion erforderlich."
"Sicherheits-Update","Installieren Sie das neue Sicherheitsmodul."
