subject;body;label
 Anfrage zu Mengenrabatt für Softwarelizenzen;Hallo zusammen, wir planen aktuell die Einführung von 120 zusätzlichen Softwarelizenzen für unser Vertriebsteam. Können Sie uns bitte ein Angebot inklusive möglicher Mengenrabatte übermitteln? Uns interessiert außerdem, ob die Lizenzkosten bei einer Jahreszahlung reduziert werden.;Vertrieb
 Bitte um Angebotsanpassung;Guten Tag, wir haben Ihr Angebot zum Vertriebssystem geprüft. Unsere Geschäftsleitung bittet um eine Anpassung des Preises bei einer Laufzeit von 36 Monaten. Wäre eine monatliche Abrechnung möglich?;Vertrieb
 Anfrage Präsentation neuer Produktlinie;Sehr geehrte Damen und Herren, wir möchten einen Termin zur Präsentation Ihrer neuen Produktlinie vereinbaren. Die Produkte sind für unser Vertriebsteam relevant.;Vertrieb
 Kooperationsanfrage regionale Partnerschaft;Hallo, wir suchen einen Partner für eine Vertriebskooperation in Bayern. Wir planen eine Markteinführung im Quartal 3.;Vertrieb
 Nachfrage Liefertermin Demogeräte;Hallo Frau Müller, wann kann unser Vertriebsteam mit den Demogeräten rechnen? Wir benötigen die Hardware zur internen Testphase.;Vertrieb
 Anfrage Webinar zur Plattform;Hallo, bieten Sie ein Webinar zu Ihrer Vertriebsplattform an? Wir möchten die Funktionen live sehen.;Vertrieb
 Rückfrage zu Lizenzmodell;Guten Tag, wir benötigen Details zum Lizenzmodell für 65 Nutzer. Welche Preisstufen gibt es?;Vertrieb
 Preisverhandlung Großauftrag;Hallo zusammen, wir bereiten einen Großauftrag vor. Können Sie uns bitte Ihre besten Konditionen senden?;Vertrieb
 Anfrage Auslandsvertrieb;Sehr geehrte Damen und Herren, wir planen den Vertrieb Ihrer Produkte in der Schweiz. Welche Exportkonditionen bieten Sie an?;Vertrieb
 Nachfrage Produktdaten;Hallo, könnten Sie uns komplette Produktdatenblätter sowie Bildmaterial zur Verfügung stellen?;Vertrieb
 Leadgenerierung Anfrage;Hallo, bieten Sie Unterstützung bei der Leadgenerierung an? Wir möchten über Social Media mehr Reichweite erzielen.;Vertrieb
 Anfrage Marketingmaterial;Hallo, unser Vertriebsteam benötigt Broschüren und Flyer für Kundentermine. Können Sie uns Materialien zusenden?;Vertrieb
 Budgetfreigabe Rücksprache;Guten Tag, wir benötigen Ihr finales Angebot zur Vorlage in der Budgetrunde. Können Sie eine Netto-Aufstellung senden?;Vertrieb
 Anfrage Testzugang;Guten Tag, wir würden Ihre Software gerne vorab testen. Können Sie uns einen 30-Tage-Testzugang zur Verfügung stellen?;Vertrieb
 ROI-Berechnung Request;Hallo, haben Sie Beispielrechnungen zum ROI Ihres Systems? Wir möchten den Nutzen für unsere Verkaufszahlen prüfen.;Vertrieb
 Pitch-Anfrage;Sehr geehrte Damen und Herren, wir planen nächste Woche eine interne Pitchrunde. Können Sie teilnehmen?;Vertrieb
 Partnerprogramm Details;Hallo, wie sieht Ihr Partnerprogramm aus? Welche Margen bietet es Partnerunternehmen?;Vertrieb
 Produktvergleich Wettbewerber;Guten Tag, wir prüfen aktuell verschiedene Anbieter. Können Sie uns einen technischen Vergleich zu Wettbewerbern senden?;Vertrieb
 Anfrage Telefontermin;Hallo, wann haben Sie Zeit für einen kurzen Telefontermin zur Abstimmung der weiteren Schritte?;Vertrieb
 Rabatt bei Vorauszahlung;Hallo, gewähren Sie Rabatt bei jährlicher Zahlung im Voraus?;Vertrieb
 Anfrage Schulung Vertriebsteam;Sehr geehrte Damen und Herren, bieten Sie Schulungen für Vertriebsteams an? Unser Team soll schnell produktiv werden.;Vertrieb
 Leadmanagement Systemfrage;Hallo, wie funktioniert das Leadmanagement in Ihrer Software? Können Leads automatisch zugeordnet werden?;Vertrieb
 Termin für Demo;Guten Tag, wir möchten eine Online-Demo buchen. Haben Sie nächste Woche Termine?;Vertrieb
 Frage zur Integration;Hallo, lässt sich Ihre Software in Salesforce integrieren?;Vertrieb
 Anfrage Angebot international;Sehr geehrte Damen und Herren, wir benötigen ein Angebot für den Vertrieb in DACH. Welche Versandkosten entstehen?;Vertrieb
 Bedarf Marktanalyse;Hallo, haben Sie Daten zu Marktanalysen in unserer Branche?;Vertrieb
 Anfrage KPIs;Guten Tag, welche KPIs zur Vertriebssteuerung unterstützt Ihre Anwendung?;Vertrieb
 Rückfrage Nutzungsumfang;Hallo, ist in der Basislizenz ein E-Mail-Tracking enthalten?;Vertrieb
 Anfrage Rabattstaffeln;Hallo, können Sie Ihre Rabattstaffel anhand von Nutzerzahlen senden?;Vertrieb
 Anfrage Demo-Zugang;Guten Tag, unser Team möchte die Features vorab testen. Bitte senden Sie Login-Daten.;Vertrieb
 Anfrage Referenzen;Sehr geehrte Damen und Herren, können Sie uns Kundenreferenzen im Bereich Industrievertrieb senden?;Vertrieb
 Preisanfrage Jahreslizenz;Hallo, wie hoch ist der Preis für eine Jahreslizenz im Vertriebsteam?;Vertrieb
 Anfrage Konfiguration;Hallo, ist eine individuelle Konfiguration möglich?;Vertrieb
 Nachfrage Lieferzeit Produktbroschüren;Hallo, wann erhalten wir die bestellten Broschüren?;Vertrieb
 Anfrage zum Vertriebsprozess;Hallo, wie unterstützt Ihre Anwendung den gesamten Vertriebsprozess von Lead bis Abschluss?;Vertrieb
 Anfrage zu Zahlungsmodalitäten;Sehr geehrte Damen und Herren, bieten Sie Ratenzahlung?;Vertrieb
 Nachfrage Demoergebnisse;Guten Tag, wir haben die Demo getestet und hätten Rückfragen zu zwei Funktionen.;Vertrieb
 Einladung zur Messe;Hallo, wir sind auf der Industriemesse in Hannover. Können wir einen Termin vereinbaren?;Vertrieb
 Anfrage Vertragsentwurf;Sehr geehrte Damen und Herren, schicken Sie uns bitte einen Vertragsentwurf zur Prüfung.;Vertrieb
 Rückfrage zum Datenschutz;Hallo, wie wird DSGVO bei Kundendaten im CRM gewährleistet?;Vertrieb
 Anfrage Rückkaufprogramm;Guten Tag, haben Sie ein Rückkaufprogramm für alte Geräte?;Vertrieb
 Anfrage Preisupdate;Hallo, hat sich Ihr Preis für die Enterprise-Version geändert?;Vertrieb
 Nachfrage API-Dokumentation;Hallo, können Sie uns die API-Dokumentation senden?;Vertrieb
 Anfrage Zahlungsziel;Sehr geehrte Damen und Herren, welche Zahlungsziele bieten Sie Firmenkunden?;Vertrieb
